FR;EN;DE;ES;CT;IT;RU;PL;UK;AZ;RO;NL;TU;GR;HU;FI;EE;CZ;PT;SW;SR;BU;AR;HR;DN;AL;SK;NO;GE;BL;LT;GA;BH;SV;LV;YI;SC;MK;LA;EU;WA;ML;LU;IS;IR
maison;House;Haus;casa;casa;casa;dom;dom;Budynok;Ev;casa;Huis;ev;spiti;Haz;Talo;Maja;dum;casa;Hus;Kuca;kushta;Tun;Kuca;Hus;shtepi;dom;Hus;sakhli;Dom;Namas;Casa;Kuca;Hisha;Maja;hoyz;Taigh;Kuka;domum;Etxea;ty;Dar;Haus;Hus;Teach
ville;city;Stadt;ciudad;ciutat;citta;gorod;miasto;misto;sahar;oras;stad;Kent;poli;varos;kaupunki;linn;mesto;cidade;stad;grad;grad;kaghak;Grad;by;qytet;velkomesto;by;kalaki;horad;miestas;cidade;grad;mesto;pilseta;shtot;bhaile mor;grad;urbs;hiri;ddinas;belt;Stad;borg;cathrach
porte;door;Tur;puerta;porta;porta;dver;drzwi;dveri;qapi;usa;deur;kapi;porta;ajto;ovi;uks;dvere;porta;dorr;vrata;vrata;durry;vrata;dor;dere;dvere;dor;kari;dzviery;durys;porta;vrata;vrata;durvis;tir;doras;vrata;ianua;ate;drws;bieb;Dier;hurdh;doras
route;road;Strasse;carretera;carretera;strada;doroga;droga;doroha;Yol;drum;weg;yol;dromos;ut;tie;tee;silnice;estrada;vag;put;put;chanaparh;cesta;vej;rruge;cestne;vei;gza;daroha;kelias;estrada;cesta;cesta;celsh;veg;rathad;pat;via;errepide;ffordd;fit triq;Strooss;vegur;bothar
homme;man;Mann;hombre;home;uomo;chelovek;mezczyzna;lyudyna;adam;om;Mens;adam;andras;Ferfi;mies;mees;muzh;cara;man;covek;muzh;mard;Covjek;mand;njeri;muzh;Mann;katsi;calaviek;vyras;home;covek;clovek;cilveks;mentsh;dhuine;Covek;vir;gizon;dyn;ragel;Mann;madhur;fear
femme;woman;Frau;mujer;dona;donna;zhenshchina;kobieta;zhinky;qadinlar;femei;Dames;KADIN;gynaikes;nok;naiset;naised;zhena;mulher;kvinna;zhena;zhena;kin;zhena;kvinde;grua;zhena;kvinne;kali;zhancyna;moteris;muller;zhena;zhenska;sieviete;froy;boireannach;zhena;femina;emakume;fenyw;mara;Fra;konu;bean
amour;love;liebe;amor;amor;amore;lyubov;milosc;lyubov;sevgi;dragoste;liefde;Ask;agapi;szeretet;rakkaus;armastus;milovat;amor;karlek;ljubav;obicham;Ser;ljubav;kaerlighed;dashuri;milovat;kjaerlighet;siqvaruli;kachannie;meile;amor;ljubav;ljubezen;milestiba;libe;ghaoil;ubov;amare;maite;cariad;imhabba;gar;ast;gra
voiture;car;Auto;coche;cotxe;macchina;avtomobil;samochod;avtomobil;masin;masina;auto;araba;aftokinito;auto;auto;auto;auto;carro;bil;auto;kola;mekena;automobil;bil;makine;auto;bil;mankana;autamabil;automobilis;coche;auto;avto;auto;mashin;car;avtomobil;currus;autoa;car;karozza;Auto;bill;carr
temps;time;Zeit;tiempo;temps;tempo;vremya;czas;chas;vaxt;timp;tijd;zaman;chronos;ido;aika;aeg;cas;Tempo;tid;vreme;put;zhamanak;vrijeme;tid;kohe;cas;tid;dro;cas;laikas;tempo;vreme;cas;laiks;tsayt;ùine;vreme;tempus;denbora;amser;iz zmien;Zait;tima;am
bien;good;gut;bien;be;bene;khorosho;dobrze;dobre;yaxsi;bun;is goed;iyi;Kalos;jo;hyva;hea;dobry;Boa;Bra;Dobro;dobre;lav;dobro;godt;mire;dobry;god;kargi;dobra;Gerai;bo;dobro;dobro;labi;gut;math;dobro;bonum;ona;da;tajjeb;gutt;godhur;maith
fois;times;Zeit;tiempo;temps;ora;vremya;czas;raziv;dafa;ori;keer;zamanlar;fores;alkalommal;ajat;korda;krat;vezes;ganger;puta;puti;zhamanaknery;puta;gange;kohet;doba;ganger;jer;raz;laikai;veces;puta;krat;reizes;mal;amannan;vreminja;temporibus;aldiz;amseroedd;zminijiet;Zaiten;sinnum;amanna
rue;street;Strasse;calle;carrer;strada;ulitsa;ulica;vulytsya;kuca;strada;straat;sokak;dromos;utca;katu;tanav;ulice;rua;gata;ulica;ulitsa;pvoghots;ulica;gade;rruge;poulicne;gate;kucha;vulica;gatve;rua;ulica;ulica;iela;gas;sraid;ulica;via;kalean;stryd;triq;Strooss;gata;sraid
monde;world;Welt;mundo;mon;mondo;mir;swiat;svit;dunya;lume;wereld;Dunya;kosmos;vilag;maailman ;maailm;svet;mundo;varld;svet;svyat;ashkharhy;svijet;verden;bote;svet;verden;samqaro;sviet;pasaulis;mundo;svetu;svet;pasaule;velt;shaoghal;svetot;orbis;mundu;byd;dinja;welt;heimur;domhan
tête;head;Kopf;cabeza;cap;testa;golova;g?owa;holova;bas;cap;hoofd;kafa;kefali;fej;paa;pea;hlava;cabeca;huvud;glava;glava;glukh;glava;hoved;koke;hlava;hode;tavi;halava;galva;cabeza;glava;glava;galva;kop;ceann;glava;caput;burua;pen;ras;Kapp;hofudh;ceann
pays;country;Land;pais;pais;paese;strana;kraj;krayina;olka;tara;land;ulke;Chora;orszag;maa;riik;zeme;pais;Land;zemlju;durzhava;yerkir;zemlja;Land;vend;krajina;land;kveqana;kraina;shalis;pais;drzhava;drzhava;valsts;land;dùthaich;zemja;patriam;herrialde;wlad;pajjizna;Land;landi;tir
raison;reason;Grund;razon;rao;ragione;prichina;powod;prychyna;sabab;motiv;reden;neden;logos;ok;syy;põhjus;duvod;Razão;anledning;razlog;prichina;patcharr;razlog;grund;arsye;dôvod;arsaken;mizezi;prycyna;priezhastis;razon;razlog;razlog;iemesls;sibh;adhbhar;pricina;ratio;arrazoia;rheswm;raguni;Grond;astaedhan;chuis
coeur;heart;Herz;corazon;cor;cuore;serdtse;serce;sertse;urak;inima;hart;kalp;kardia;sziv;sydan;suda;srdce;coracão;hjarta;srce;surtse;sirt;srce;hjerte;zemer;Srdce;hjerte;guli;serca;shirdis;corazon;srce;srce;sirds;harts;cridhe;srce;cor meum;bihotz;galon;qalb;Haerz;hjarta;croi
dieu;God;Gott;dios;deu;Dio;bog;Bog;Bozhe;Allah;Dumnezeu;God;Tanri;Theos;Isten;Jumala;Jumal;buh;Deus;Gud;Bog;Bog;Astvats;Bog;Gud;zot;boh;Gud;ghmerto;Boh;Dieve;Deus;Bozhe;Bog;Dievs;got;Dia;Bog;Deus;jainko;Duw;Alla;Gott;Gudh;Dia
