FR;EN;DE;ES;CT;IT;RU;PL;UK;AZ;RO;NL;TU;GR;HU;FI;EE;CZ;PT;SW;SR;BU;AR;HR;DN;AL;KZ;SK;NO;GE;BL;LT;GA;BH;SV;LV;YI;SC;MK;LA;EU;WA;ML;AB;LU;IS;IR
maison;House;Haus;casa;casa;casa;dom;dom;Budynok;Ev;casa;Huis;ev;spíti;Ház;Talo;Maja;dum;casa;Hus;Kuca;kushta;Tun;Kuca;Hus;shtëpi;üy;dom;Hus;sakhli;Dom;Namas;Casa;Kuca;Hiša;Maja;hoyz;Taigh;Kuka;domum;Etxea;ty;Dar;manzil;Haus;Hús;Teach
ville;city;Stadt;ciudad;ciutat;città;gorod;miasto;misto;sahar;oras;stad;Kent;póli;város;kaupunki;linn;mesto;cidade;stad;grad;grad;kaghak;Grad;by;qytet;qala;velkomesto;by;kalaki;horad;miestas;cidade;grad;mesto;pilseta;shtot;bhaile-mòr;grad;urbs;hiri;ddinas;belt;madina;Stad;borg;cathrach
porte;door;Tür;puerta;porta;porta;dver;drzwi;dveri;qapi;usa;deur;kapi;pórta;ajtó;ovi;uks;dvere;porta;dörr;vrata;vrata;durry;vrata;dør;derë;esik;dvere;dør;kari;dzviery;durys;porta;vrata;vrata;durvis;tir;doras;vrata;ianua;ate;drws;bieb;bab;Dier;hurdh;doras
route;road;Strasse;carretera;carretera;strada;doroga;droga;doroha;Yol;drum;weg;yol;drómos;út;tie;tee;silnice;estrada;väg;put;put;chanaparh;cesta;vej;rrugë;jol;cestné;vei;gza;daroha;kelias;estrada;cesta;cesta;celš;veg;rathad;pat;via;errepide;ffordd;fit-triq;tariq;Strooss;vegur;bóthar
homme;man;Mann;hombre;home;uomo;chelovek;mezczyzna;lyudyna;adam;om;Mens;adam;ándras;Férfi;mies;mees;muž;cara;man;covek;muzh;mard;Covjek;mand;njeri;adam;muž;Mann;katsi;calaviek;vyras;home;covek;clovek;cilveks;mentsh;dhuine;Covek;vir;gizon;dyn;ragel;rajul;Mann;madhur;fear
femme;woman;Frau;mujer;dona;donna;zhenshchina;kobieta;zhinky;qadinlar;femei;Dames;KADIN;gynaíkes;nok;naiset;naised;žena;mulher;kvinna;žena;zhena;kin;žena;kvinde;grua;äyel;žena;kvinne;kali;žancyna;moteris;muller;žena;ženska;sieviete;froy;boireannach;žena;femina;emakume;fenyw;mara;alnisa;Fra;konu;bean
amour;love;liebe;amor;amor;amore;lyubov;milosc;lyubov;sevgi;dragoste;liefde;Ask;agápi;szeretet;rakkaus;armastus;milovat;amor;kärlek;ljubav;obicham;Ser;ljubav;kærlighed;dashuri;maxabbat;milovat;kjærlighet;siqvaruli;kachannie;meile;amor;ljubav;ljubezen;milestiba;libe;ghaoil;ubov;amare;maite;cariad;imhabba;hubun;gär;ást;grá
voiture;car;Auto;coche;cotxe;macchina;avtomobil;samochód;avtomobil;masin;masina;auto;araba;aftokínito;autó;auto;auto;auto;carro;bil;auto;kola;mekena;automobil;bil;makinë;avtokölik;auto;bil;mankana;autamabil;automobilis;coche;auto;avto;auto;mashin;càr;avtomobil;currus;autoa;car;karozza;sayara;Auto;bíll;carr
temps;time;Zeit;tiempo;temps;tempo;vremya;czas;chas;vaxt;timp;tijd;zaman;chrónos;ido;aika;aeg;cas;Tempo;tid;vreme;put;zhamanak;vrijeme;tid;kohë;waqit;cas;tid;dro;cas;laikas;tempo;vreme;cas;laiks;tsayt;ùine;vreme;tempus;denbora;amser;iz zmien;zaman;Zäit;tíma;am
bien;good;gut;bien;bé;bene;khorosho;dobrze;dobre;yaxsi;bun;is goed;iyi;Kalós;jó;hyvä;hea;dobrý;Boa;Bra;Dobro;dobre;lav;dobro;godt;mirë;jaqsi;dobrý;god;kargi;dobra;Gerai;bo;dobro;dobro;labi;gut;math;dobro;bonum;ona;da;tajjeb;hasan;gutt;gódhur;maith
